name,rating
1021-2121-1,121.0
1021-2361-1,121.0
1021-3541-1,210.0
1021-10210-1,999.0
1021-10261-1,123.0
1041-5481-1,121.0
1042-1052-1,593.0
1042-1072-1,593.0
1042-3202-1,468.0
1042-4722-1,513.0
1042-10422-1,574.0
1052-1062-1,999.0
1052-2852-1,573.0
1052-3202-2,468.0
1061-10619-1,123.0
1071-2231-1,123.0
1071-2361-1,91.0
1071-4941-1,119.0
1081-32810-1,45.0
1091-2861-1,181.0
1091-3091-1,181.0
1101-2161-1,45.0
1121-1301-1,159.0
1121-1541-1,210.0
1121-4901-2,92.0
1122-1742-1,513.0
1122-3642-1,513.0
1131-2131-1,136.0
1131-11310-1,210.0
1131-31911-1,210.0
1141-3501-1,121.0
1141-4941-1,190.0
1141-11461-1,123.0
1161-1781-1,96.0
1161-3461-1,210.0
1161-3901-1,210.0
1161-5051-3,120.0
1161-5071-4,120.0
1161-17810-2,96.0
1181-1861-1,123.0
1181-2821-1,210.0
1181-4221-1,210.0
1181-4961-1,210.0
1181-4961-2,210.0
1201-2561-1,136.0
1201-3781-1,115.0
1211-2771-1,220.0
1211-12111-1,210.0
1212-1602-1,792.0
1212-3332-1,794.0
1221-1901-1,121.0
1221-3551-1,123.0
1231-1841-1,68.0
1251-2361-1,210.0
1251-52219-1,210.0
1271-1491-1,210.0
1271-2041-1,210.0
1281-2221-1,68.0
1301-17411-1,159.0
1311-3331-1,220.0
1321-13219-1,159.0
1331-2041-1,130.0
1331-4001-1,123.0
1341-1701-1,210.0
1341-5191-1,159.0
1351-4081-1,121.0
1351-4201-1,122.0
1361-2001-1,217.0
1361-2161-1,210.0
1371-1451-1,192.0
1381-4721-1,92.0
1401-1661-1,217.0
1401-4041-1,210.0
1401-14010-1,999.0
1411-3081-1,136.0
1411-3081-2,136.0
1421-4651-1,151.0
1431-3261-1,210.0
1441-1501-1,91.0
1441-2225-1,121.0
1441-14461-1,123.0
1441-15010-2,91.0
1441-47210-1,121.0
1451-2041-1,221.0
1461-14619-1,159.0
1471-1810-1,229.0
1471-1810-2,229.0
1472-2562-1,457.0
1481-2001-1,192.0
1481-3401-1,216.0
1491-2181-1,210.0
1511-52610-1,181.0
1521-2401-1,124.0
1522-2042-1,513.0
1522-5462-1,513.0
1522-15220-1,635.0
1522-15220-2,635.0
1531-3801-1,121.0
1531-5481-1,121.0
1541-5291-1,210.0
1551-16011-1,210.0
1561-2861-1,140.0
1561-2861-2,140.0
1571-5191-1,91.0
1581-4491-1,133.0
1581-5521-1,115.0
1601-1611-1,190.0
1601-2225-1,210.0
1601-3881-2,191.0
1601-16011-1,210.0
1602-3202-1,751.0
1611-3301-1,210.0
1621-3061-1,217.0
1621-3221-1,201.0
1631-2671-1,210.0
1631-5041-1,210.0
1631-10619-1,210.0
1641-1821-1,210.0
1641-2361-1,210.0
1641-2781-1,123.0
1641-2781-2,123.0
1641-2781-3,123.0
1641-4951-1,97.0
1641-16411-1,123.0
1641-16461-1,123.0
1641-22811-1,121.0
1641-50019-1,121.0
1642-2522-1,436.0
1642-4522-1,468.0
1642-5172-1,792.0
1651-5261-1,121.0
1651-5281-1,123.0
1661-1821-1,121.0
1661-1951-1,121.0
1661-2281-1,121.0
1661-16661-1,123.0
1661-16662-1,703.0
1671-1941-1,140.0
1681-3221-1,209.0
1681-3881-1,210.0
1691-5131-1,116.0
1691-51319-1,100.0
1701-1761-1,68.0
1701-1981-1,210.0
1701-5041-1,191.0
1701-17010-1,999.0
1701-17061-1,123.0
1701-28712-2,210.0
1711-3421-2,114.0
1721-2161-1,210.0
1721-2391-1,210.0
1721-5381-1,210.0
1721-14619-1,123.0
1721-17261-1,123.0
1731-3421-1,114.0
1741-1851-1,123.0
1741-4511-1,127.0
1741-51319-1,159.0
1742-2202-1,513.0
1742-3122-1,593.0
1742-17462-1,513.0
1801-4111-1,133.0
1801-17411-1,138.0
1811-3431-1,223.0
1811-3471-1,169.0
1821-35011-1,122.0
1831-2091-1,159.0
1841-3641-1,210.0
1841-5291-1,210.0
1841-5501-1,210.0
1861-2521-1,121.0
1861-2521-2,121.0
1861-10619-1,210.0
1871-2581-1,142.0
1871-20411-1,143.0
1881-2881-1,121.0
1881-3281-1,159.0
1881-4021-1,210.0
1901-3341-1,121.0
1901-3341-2,121.0
1901-50619-1,68.0
1921-1961-1,121.0
1921-4341-1,33.0
1921-4351-2,42.0
